hospital_id,hpid,previous_hpid,duty_name_live,er_phone_live,requested_stage1,requested_district,fetched_at,hvidate_raw,available_er_beds,available_operating_rooms,available_neuro_icu_beds,available_neonatal_icu_beds,available_thoracic_icu_beds,available_general_icu_beds,available_inpatient_beds,available_internal_medicine_icu_beds,available_surgical_icu_beds,available_orthopedic_inpatient_beds,available_neurology_inpatient_beds,available_neurosurgery_icu_beds,available_drug_intoxication_icu_beds,available_burn_icu_beds,available_trauma_icu_beds,ct_available_live,mri_available_live,angiography_available_live,ventilator_available_live,ambulance_available_live,pediatric_ventilator_available_live,incubator_available_live,live_congestion_score,live_congestion_level,live_congestion_penalty,capacity_source,active_in_hospital_master
A1100029,A1100029,A1100029,서울적십자병원,02-2002-8888,서울특별시,종로구,2026-05-18T14:53:42.486Z,20260518235002,8,6,,,,7,95,,,,,,,,,true,true,,true,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100022,A1100022,A1100022,서울특별시동부병원,02-920-9119,서울특별시,동대문구,2026-05-18T14:53:42.486Z,20260518235020,8,3,,,,2,33,,,,,,,,,true,true,,true,true,,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100040,A1100040,A1100040,서울특별시보라매병원,02-870-2119,서울특별시,동작구,2026-05-18T14:53:42.486Z,20260518235000,8,14,,3,,,157,4,8,,,,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100223,A1100223,A1100223,서울특별시서남병원,02-6300-9129,서울특별시,양천구,2026-05-18T14:53:42.486Z,20260518235000,6,4,,,,3,28,,,,,,,,,true,true,,true,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100035,A1100035,A1100035,서울특별시서울의료원,02-2276-7000,서울특별시,중랑구,2026-05-18T14:53:42.486Z,20260518235000,8,10,,3,,0,95,1,,,,0,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100028,A1100028,A1100028,성심의료재단강동성심병원,02-2224-2358,서울특별시,강동구,2026-05-18T14:53:42.486Z,20260518234723,9,12,,2,,1,169,2,,,,,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100054,A1100054,A1100054,성애의료재단성애병원,02-840-7115,서울특별시,영등포구,2026-05-18T14:53:42.486Z,20260518234917,6,5,,4,,7,39,,,,,,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100032,A1100032,A1100032,세란병원,02-737-0181,서울특별시,종로구,2026-05-18T14:53:42.486Z,20260518234900,7,13,,,,,31,,,,,,,,,true,true,,true,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100004,A1100004,A1100004,순천향대학교부속서울병원,02-709-9117,서울특별시,용산구,2026-05-18T14:53:42.486Z,20260518234822,14,13,,3,,8,80,,,,,,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100045,A1100045,A1100045,씨엠병원,070-4698-7811,서울특별시,영등포구,2026-05-18T14:53:42.486Z,20260518234500,10,5,,,,,58,,,,,,,,,,,,,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100015,A1100015,A1100015,연세대학교의과대학강남세브란스병원,02-2019-3333,서울특별시,강남구,2026-05-18T14:53:42.486Z,20260518235030,-1,22,,1,,7,78,,,,,3,,,,true,true,true,true,true,true,true,1,full,100,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100007,A1100007,A1100007,연세대학교의과대학세브란스병원,02-2227-7777,서울특별시,서대문구,2026-05-18T14:53:42.486Z,20260518235018,1,3,6,9,0,14,231,8,16,,,1,,,,true,true,true,true,true,true,true,0.7,high,70,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100025,A1100025,A1100025,의료법인동신의료재단동신병원,02-396-9161,서울특별시,서대문구,2026-05-18T14:53:42.486Z,20260518234856,6,3,,,,1,67,,,,,,,,,true,true,false,true,true,false,false,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100041,A1100041,A1100041,의료법인서울효천의료재단에이치플러스양지병원,070-4665-9119,서울특별시,관악구,2026-05-18T14:53:42.486Z,20260518235012,7,7,,,,3,26,,,,,,,,,true,true,true,true,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100023,A1100023,A1100023,의료법인청구성심병원,02-383-0129,서울특별시,은평구,2026-05-18T14:53:42.486Z,20260518234843,8,3,,,,2,36,,,,,,,,,true,true,,true,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100075,A1100075,A1100075,의료법인풍산의료재단동부제일병원,02-490-8880,서울특별시,중랑구,2026-05-18T14:53:42.486Z,20260518234539,6,2,,,,,47,,,,,,,,,true,false,,true,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100020,A1100020,A1100020,의료법인한전의료재단한일병원,02-901-3119,서울특별시,도봉구,2026-05-18T14:53:42.486Z,20260518235003,9,8,,,,2,50,,,,,,,,,true,true,true,true,true,false,false,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100005,A1100005,A1100005,이화여자대학교의과대학부속목동병원,02-2650-5911,서울특별시,양천구,2026-05-18T14:53:42.486Z,20260518234937,5,13,,10,,,49,0,7,,,11,,,,true,true,true,true,true,true,true,0.4,medium,40,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1120796,A1120796,A1120796,이화여자대학교의과대학부속서울병원,02-6986-5119,서울특별시,강서구,2026-05-18T14:53:42.486Z,20260518234533,-6,19,,2,5,0,98,1,11,,,2,,,,true,true,true,true,true,true,true,1,full,100,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100016,A1100016,A1100016,인제대학교상계백병원,02-950-1119,서울특별시,노원구,2026-05-18T14:53:42.486Z,20260518235023,8,13,,2,,,73,0,2,,,,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100009,A1100009,A1100009,재단법인아산사회복지재단서울아산병원,02-3010-3333,서울특별시,송파구,2026-05-18T14:53:42.486Z,20260518234915,0,2,2,12,1,2,101,0,4,,,0,,,,true,true,true,true,true,true,true,1,full,100,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100003,A1100003,A1100003,중앙대학교병원,02-6299-1338,서울특별시,동작구,2026-05-18T14:53:42.486Z,20260518235009,-6,16,,0,,5,96,8,6,,,,,,,true,true,true,true,true,true,true,1,full,100,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100012,A1100012,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,02-2258-2370,서울특별시,서초구,2026-05-18T14:53:42.486Z,20260518235012,-4,32,,6,4,0,93,10,17,,,8,,,,true,true,true,true,true,true,true,1,full,100,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100008,A1100008,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),02-920-5374,서울특별시,성북구,2026-05-18T14:53:42.486Z,20260518234740,9,24,,-1,,,35,0,1,,,,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100053,A1100053,A1100053,한국보훈복지의료공단중앙보훈병원,02-2225-1100,서울특별시,강동구,2026-05-18T14:53:42.486Z,20260518234924,17,14,,,,,92,10,6,,,5,,,,true,true,true,true,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100027,A1100027,A1100027,한국원자력의학원원자력병원,02-970-2620,서울특별시,노원구,2026-05-18T14:53:42.486Z,20260518234805,9,10,,,,6,165,,,,,,,,,true,true,true,true,true,,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100055,A1100055,A1100055,한림대학교강남성심병원,02-829-5119,서울특별시,영등포구,2026-05-18T14:53:42.486Z,20260518234631,14,14,,4,,,142,2,3,,,,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100013,A1100013,A1100013,한양대학교병원,02-2290-8284,서울특별시,성동구,2026-05-18T14:53:42.486Z,20260518234801,14,15,,3,,0,101,2,1,,,,,,,true,true,true,true,true,true,true,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100051,A1100051,A1100051,혜민병원,02-2049-9119,서울특별시,광진구,2026-05-18T14:53:42.486Z,20260518234633,8,5,,,,8,27,,,,,,,,,true,true,,true,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100019,A1100019,A1100019,홍익병원,02-2600-0777,서울특별시,양천구,2026-05-18T14:53:42.486Z,20260518234951,5,4,,,,7,45,,,,,,,,,true,true,true,true,true,,,0.4,medium,40,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
A1100049,A1100049,A1100049,희명병원,02-809-0122,서울특별시,금천구,2026-05-18T14:53:42.486Z,20260518234745,8,4,,,,7,109,,,,,,,,,true,true,,true,true,,,0.1,low,10,nemc_live_getEmrrmRltmUsefulSckbdInfoInqire,true
